1,1,Hello!,A
1,2,Hi!,B
1,3,How are you?,A
1,4,I'm good. How are you?,B
1,5,Good. Do you speak English?,A
1,6,A little.,B
1,7,Where are you from?,A
1,8,I'm from India.,B
1,9,Nice to meet you.,A
1,10,Nice to meet you too.,B
2,1,Hello!,A
2,2,Hi!,B
2,3,Can you tell me the time please?,A
2,4,Sure. Its seven o' clock,B
2,5,Thanks!,A
3,1,Hello!,A
3,2,Hi!,B
3,3,I want to get to the airport. Can you tell me how to get there?,A
3,4,I'm sorry. I don't know.,B
3,5,I think I can take the bus there. Do you know where the nearest bus stop is?,A
3,6,Sure. Its after next signal.,B
3,7,Thanks!,A
4,1,Hello sir. welcome to the restaurant. How many?,Host
4,2,Two.,A
4,3,Right this way. Please have a seat. Your waiter will be with you in a moment.,Host
4,4,Hello sir. hello ma'am. Would you like to order now?,Waiter
4,5,Yes please.,A
5,1,What would you like to drink?,Waiter
5,2,What do you have?,A
5,3,We have bottled water juice and coffee.,Waiter
5,4,I'll have a bottle of water please.,A
5,5,What would you like to eat?,Waiter
5,6,I'll have a Veg sandwich and a bowl of tomato soup.,A
6,1,Hey John. How have you been?,Bob
6,2,Hi Bob. How are you?,John
6,3,I am good. It has been a long time,Bob
6,4,Yes it has. What is going on with you?,John
6,5,I have been pretty busy with work.,Bob
